"index","fiberhood","f3","netsecfootage","connected","completed","upstreamsection","downstreamchildren","f1percent","f2percent","f3percent","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","packagehomesearned","rolluphomesearned","downstreamhomes","ringestpackagefootage","ringpackagestatus","ringpercentcomplete","feederestpackagefootage","feederpackagestatus","feederpercentcomplete","f1f2f3estfootage","robustdetail","fhpercentcomplete","fhnetworkstatus","networkstatus","homesearned","ringhomesearnedshare","feederhomesearnedshare","fiberhoodhomesearnedshare","packagepercentcomplete","ring","feeder","hiearchy","hhp","coszonename","coscoalescezonegroup","coszonecurrentstatus","cossurveyorsignup","coszonestatus","cosfhname","cxinfrastructurecompletedate","plannedactivatedate","plannedmogroup","actualactivatedate","litmogroup","infactualcost","infactuallaborcost","infactualmaterialcost","inftotalstrand","inftotalduct","infpathfootage","infcostperpathmile","infcostperhhp","aerestcosttobuild","ugestcosttobuild","estcosttobuild","costtobuild","costperhhp","cabaddress","cabbandwidthtest10gigringcomplete","cabphase","cabsiteplancompleteest","cabrackconfigurecalixequipcomplete","cabstarte7finalconfigalarmfmptestingest","caboepwrmakereadystart","cabagghub","cabodccabinet","cabwirepowerodccabinetstartest","cabaddressrequestsubmitted","cabpermitsreceivedest","cabpermitssubmittedactual","cabe7finalconfigalarmfmptestingcomple","cabsplicetestringfibersstartest","cabcabinetproductionreadyactual","cabsiteplancompleteactual","cabstart10gigringturnuptestest","cabpermitssubmittedest","cabwirepowerodccabinetstartactual","cabpermitsreceivedactual","cabelectricalinspectionapprovedest","cabcabinetproductionreadyest","cabdesignpermitstart","cabwirepowerodccabinetcompleteactual","cabstart10gigringturnuptestactual","cabelectricalinspectionapprovedactual","cabconstructioncompleteactual","cabstartbandwidthtest10gigringactual","caboepwrappapproved","cabconstructionstartest","cabstarte7finalconfigalarmfmptestingactual","cabstartbandwidthtest10gigringest","caboepwrappsubmitted","cabsplicetestringfiberscomplete","cabsplicetestringfibersstartactual","cabsubtendring","cabrackbaseconfigurecalixequipstartest","cab10gigringturnuptestcomplete","cabodccabinetsize","cabconstructioncompleteest","cabrackbaseconfigurecalixequipstartactual","caboepwrconnectcomplete","cabsiteaddressrxd","cabconstructionstartactual","surveymrc","totalsurveys","surveyarpu","activemrc","actualmrc","totalsubscribers","firstinstall","activearpu","actualarpu","scheduledinstalls","firstschedinstall","earliestinstall","surveytakerate","subtakerate","combinedtakerate","penetrationbucket","surveybutnotsub","surveypercent","percentofsurveynowsub","notsubnorsurvey"
0,SV01-FH06,SV01-FH06,0,false,false,WHA01-1,{},0,0,0,Complete,10879.95,"3/22/2021","200.0",0,Sent to Construction,Medina Fiber,YES,16002,"2022-10-21",,"5.0",205,"2020-06-01","864.0",9544,WHA01,"3/22/2021","2020-06-30","2021-02-24","2022-08-31","1",0.0,1.0,9544,"2021-04-15","2021-06-01","2021-09-07","2021-03-01",16002,0,N/A,"2021-04-15","2022-08-31","1.0","2021-09-07",0,"2021-09-07","0.0",YES,2,Permits Approved,"2021-10-04","2021-10-01",LIT,102,102,205,0,Construction Complete,1.0,0,LIT,1.0,9544,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-1 - LIT, FH: LIT",1.0,LIT,LIT,205,30.75,71.75,102.5,1.0,MWA Ring,WHA01-1,F3,205,Seville 06 (SV01-FH06),Medina,Active,Survey,In-Service,SV01-FH06,"2021-04-15",2021-09-07 00:00:00.000,Sep-2021,2021-09-07 00:00:00.000,Sep-2021,268181.36,198690.75,69490.61,0,16002,16002,16.76,1308.2,0,179427,179427,268181.36,1308.2,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,5077.61,82.0,61.92,4213.17,5093.61,79.0,2021-08-11 00:00:00.000,53.33,64.48,,2021-08-11 00:00:00.000,2021-08-11 00:00:00.000,0.4,0.39,0.39,>30%,3.0,0.4,0.96,123.0
1,SV01-FH03,SV01-FH03,0,false,false,WHA01-2,{},0,0,0,Complete,9569.89,"3/22/2021","48.0",14414,Sent to Construction,Medina Fiber,,0,"2022-12-06",,"17.0",65,"2020-06-01",,8900,WHA01,"3/22/2021","2020-06-30","2021-03-29","2022-11-18","1",0.6182551256755597,0.38174487432444026,23314,"2021-07-19","2021-06-01","2021-10-01","2021-04-26",0,10580,N/A,"2021-07-19","2022-11-18","1.0","2021-09-07",3834,"2021-09-07","0.0",YES,0,Unknown,,,LIT,32,32,65,0,Construction Complete,1.0,0,LIT,1.0,23314,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-2 - LIT, FH: LIT",1.0,LIT,LIT,65,9.75,22.75,32.5,1.0,MWA Ring,WHA01-2,F3,65,Seville 03 (SV01-FH03),Medina,Active,Signup,In-Service,SV01-FH03,"2021-07-19",2021-09-07 00:00:00.000,Sep-2021,2021-10-01 00:00:00.000,Oct-2021,,,,,,,,,206841,167320,374161,374161.0,5756.32,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,362.92,7.0,51.85,329.94,506.89,7.0,2021-11-02 00:00:00.000,47.13,72.41,,2021-11-02 00:00:00.000,2021-11-02 00:00:00.000,0.11,0.11,0.11,>10%,0.0,0.11,1.0,58.0
2,SV01-FH01,SV01-FH01,0,false,false,WHA01-3,{},0,0,0,Complete,6768.05,"3/22/2021","60.0",6420,Sent to Construction,Medina Fiber,,5030,"2022-09-08",,"31.0",91,"2020-06-01",,9194,WHA01,"3/22/2021","2020-06-30","2021-03-31","2022-08-12","1",0.41116946330216475,0.5888305366978352,15614,"2021-07-19","2021-06-01","2021-10-01","2021-05-26",5030,0,N/A,"2021-07-19","2022-08-12","1.0","2021-09-07",6420,"2021-09-07","0.0",YES,0,No Permits,,,LIT,46,46,91,0,Construction Complete,1.0,0,LIT,1.0,15614,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-3 - LIT, FH: LIT",1.0,LIT,LIT,91,13.65,31.849999999999998,45.5,1.0,MWA Ring,WHA01-3,F3,91,Seville 01 (SV01-FH01),Medina,Active,Survey,In-Service,SV01-FH01,"2021-07-19",2021-09-07 00:00:00.000,Sep-2021,2021-10-01 00:00:00.000,Oct-2021,,,,,,,,,92127,172847,264974,264974.0,2911.8,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,1656.61,26.0,63.72,1313.74,1542.47,22.0,2021-10-15 00:00:00.000,59.72,70.11,,2021-10-15 00:00:00.000,2021-10-15 00:00:00.000,0.29,0.24,0.24,>20%,4.0,0.29,0.85,65.0
3,SV01-FH01.1,SV01-FH01.1,0,false,false,WHA01-3,{},0,0,0,In Progress,0.0,"3/22/2021","46.0",0,,Medina Fiber,,0,,Greenfield,"0.0",46,"2022-07-15",,,WHA01,"3/22/2021",,,,"1",0.0,0.0,0,"2022-11-22","2021-06-01","2022-11-25",,0,0,"2022-11-25","2022-11-22",,"1.0","2022-11-25",0,"2022-12-09","0.0",YES,0,No Permits,,,LIT,23,23,46,0,Construction Complete,1.0,0,LIT,1.0,0,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-3 - LIT, FH: LIT",1.0,LIT,LIT,46,6.8999999999999995,16.099999999999998,23.0,1.0,MWA Ring,WHA01-3,F3,46,,,,,,,"2022-11-22",2022-12-09 00:00:00.000,Dec-2022,2022-11-25 00:00:00.000,Nov-2022,,,,,,,,,0,0,0,0.0,0.0,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,<10%,0.0,0.0,0.0,46.0
4,SV01-FH01.2,SV01-FH01.2,0,false,false,WHA01-3,{},0,0,0,,0.0,"3/22/2021","38.0",0,,Medina Fiber,,0,,Greenfield,"0.0",38,,,,WHA01,"3/22/2021",,,,"1",0.0,0.0,0,,,,,0,0,,,,,,0,,"0.0",YES,0,No Permits,,,Planning,0,0,38,0,Construction Complete,1.0,0,LIT,1.0,0,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-3 - LIT, FH: Planning",0.5,Planning,Planning,19,5.7,13.299999999999999,0.0,0.0,MWA Ring,WHA01-3,F3,38,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,<10%,0.0,0.0,0.0,38.0
5,SV01-FH01.3,SV01-FH01.3,0,false,false,WHA01-3,{},0,0,0,,0.0,"3/22/2021","62.0",0,,Medina Fiber,,0,,Greenfield,"0.0",62,,,,WHA01,"3/22/2021",,,,"1",0.0,0.0,0,,,,,0,0,,,,,,0,,"0.0",YES,0,No Permits,,,Planning,0,0,62,0,Construction Complete,1.0,0,LIT,1.0,0,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-3 - LIT, FH: Planning",0.5,Planning,Planning,31,9.299999999999999,21.7,0.0,0.0,MWA Ring,WHA01-3,F3,62,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,<10%,0.0,0.0,0.0,62.0
6,SV01-FH01.4,SV01-FH01.4,0,false,false,WHA01-3,{},0,0,0,,0.0,"3/22/2021","65.0",0,,Medina Fiber,,0,,Greenfield,"0.0",65,,,,WHA01,"3/22/2021",,,,"1",0.0,0.0,0,,,,,0,0,,,,,,0,,"0.0",YES,0,No Permits,,,Planning,0,0,65,0,Construction Complete,1.0,0,LIT,1.0,0,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-3 - LIT, FH: Planning",0.5,Planning,Planning,32,9.75,22.75,0.0,0.0,MWA Ring,WHA01-3,F3,65,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,<10%,0.0,0.0,0.0,65.0
7,SV01-FH02,SV01-FH02,0,false,false,WHA01-4,{},0,0,0,Complete,8780.17,"3/22/2021","52.0",10076,Sent to Construction,Medina Fiber,,0,"2022-10-21",,"6.0",58,"2020-06-01",,10262,WHA01,"3/22/2021","2020-06-30","2021-03-23","2022-10-18","1",0.49542727898515093,0.5045727210148491,20338,"2021-07-06","2021-06-01","2021-10-01","2021-05-26",0,3156,N/A,"2021-07-06","2022-10-18","1.0","2021-09-07",6920,"2021-09-07","0.0",YES,0,No Permits,,,LIT,29,29,58,0,Construction Complete,1.0,0,LIT,1.0,20338,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-4 - LIT, FH: LIT",1.0,LIT,LIT,58,8.7,20.299999999999997,29.0,1.0,MWA Ring,WHA01-4,F3,58,Seville 02 (SV01-FH02),Medina,Active,Survey,In-Service,SV01-FH02,"2021-07-06",2021-09-07 00:00:00.000,Sep-2021,2021-10-01 00:00:00.000,Oct-2021,,,,,,,,,144591,192926,337517,337517.0,5819.26,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,1097.79,15.0,73.19,1057.84,1118.56,15.0,2021-10-18 00:00:00.000,70.52,74.57,,2021-10-18 00:00:00.000,2021-10-18 00:00:00.000,0.26,0.26,0.26,>20%,0.0,0.26,1.0,43.0
8,SV01-FH04,SV01-FH04,0,false,false,WHA01-4,{},0,0,0,Complete,10142.11,"3/22/2021","100.0",5327,Sent to Construction,Medina Fiber,,346,"2022-09-21",,"37.0",137,"2020-06-01",,7401,WHA01,"3/22/2021","2020-06-30","2021-03-19","2022-09-16","1",0.41852608422375864,0.5814739157762414,12728,"2021-06-09","2021-06-01","2021-10-01","2021-03-22",346,0,N/A,"2021-06-09","2022-09-16","1.0","2021-09-07",5327,"2021-09-07","0.0",YES,1,Permits Submitted,,"2022-02-08",LIT,68,68,137,0,Construction Complete,1.0,0,LIT,1.0,12728,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-4 - LIT, FH: LIT",1.0,LIT,LIT,137,20.55,47.949999999999996,68.5,1.0,MWA Ring,WHA01-4,F3,137,Seville 04 (SV01-FH04),Medina,Active,Survey,In-Service,SV01-FH04,"2021-06-09",2021-09-07 00:00:00.000,Sep-2021,2021-10-01 00:00:00.000,Oct-2021,59727.14,37114.53,22612.61,5327,346,5673,10.53,435.96,76442,139139,215581,59727.14,435.96,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,879.8299999999999,14.0,62.84,622.89,953.43,11.0,2021-09-07 00:00:00.000,56.63,86.68,1,2021-09-07 00:00:00.000,2021-09-07 00:00:00.000,0.1,0.08,0.08,<10%,3.0,0.1,0.79,123.0
9,SV01-FH05,SV01-FH05,0,false,false,WHA01-4,{},0,0,0,Complete,2158.54,"3/22/2021","103.0",496,Sent to Construction,Medina Fiber,,3760,"2022-11-07",,"2.0",105,"2020-06-01",,2450,WHA01,"3/22/2021","2020-06-30","2021-03-19","2022-10-20","1",0.16836388323150034,0.8316361167684997,2946,"2021-04-19","2021-06-01","2021-10-01","2021-04-19",3760,227,N/A,"2021-04-19","2022-10-20","1.0","2021-09-07",269,"2021-09-07","0.0",YES,0,No Permits,,,LIT,52,52,105,0,Construction Complete,1.0,0,LIT,1.0,2946,"Ring: MWA Ring - Construction Complete, Feeder: WHA01-4 - LIT, FH: LIT",1.0,LIT,LIT,105,15.75,36.75,52.5,1.0,MWA Ring,WHA01-4,F3,105,Seville 05 (SV01-FH05),Medina,Active,Survey,In-Service,SV01-FH05,"2021-04-19",2021-09-07 00:00:00.000,Sep-2021,2021-10-01 00:00:00.000,Oct-2021,73708.06,56177.84,17530.22,496,3760,4256,17.32,701.98,7118,46060,53178,73708.06,701.98,,,"1.0",,,,,,WHA01,,,,,,,"8/01/2021",,,,,,,,,,,,,,,,,,,,,,,,ODC 200,,,,,,1594.58,27.0,59.06,1331.73,1546.65,25.0,2021-10-13 00:00:00.000,53.27,61.87,,2021-10-13 00:00:00.000,2021-10-13 00:00:00.000,0.26,0.24,0.24,>20%,2.0,0.26,0.93,78.0
