"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
0,"",0.0,"","0.0",0,"",Medina Fiber,"",0,N/A,"","0.0","0.0","","","","","","","","2022-08-23","1",0.0,0.0,0,"2021-04-28","","2021-09-07","2021-04-01",0,0,N/A,"2021-04-28","2022-08-23","1.0","2021-09-07",0,N/A,"0.0",NO,7,Permits Submitted,,"2022-02-08",Construction Complete,MWA Ring,F1,1.0,MWA Ring,"",357,2292,2381
1,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"2022-10-21","","0.0","0.0","","","",WHA01,"","","","","1",0.0,0.0,0,"2021-04-15","","2021-09-07","",0,0,"","2021-04-15","","1.0","2021-09-07",0,"","0.0",YES,2,Permits Approved,,"2021-10-01",LIT,WHA01-1,F2,1.0,MWA Ring,WHA01-1,72,174,205
2,Complete,10879.95,"3/22/2021","200.0",0,Sent to Construction,Medina Fiber,YES,16002,"2022-10-21","","5.0","205.0","2020-06-01","864.0","9544.0",WHA01,"3/22/2021","2020-06-30","2021-02-24","2022-08-31","1",0.0,1.0,9544,"2021-04-15","2021-06-01","2021-09-07","2021-03-01",16002,0,N/A,"2021-04-15","2022-08-31","1.0","2021-09-07",0,"2021-09-07","0.0",YES,2,Permits Approved,"2021-10-04","2021-10-01",LIT,SV01-FH06,F3,1.0,MWA Ring,WHA01-1,102,102,205
3,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",WHA01,"","","","","1",0.0,0.0,0,"2022-05-09","","2021-09-07","",0,0,"","2022-05-09","","1.0","2021-09-07",0,"","0.0",YES,0,No Permits,,"",LIT,WHA01-2,F2,1.0,MWA Ring,WHA01-2,23,55,65
4,Complete,9569.89,"3/22/2021","48.0",14414,Sent to Construction,Medina Fiber,"",0,"2022-12-06","","17.0","65.0","2020-06-01","","8900.0",WHA01,"3/22/2021","2020-06-30","2021-03-29","2022-11-18","1",0.6182551256755597,0.38174487432444026,23314,"2021-07-19","2021-06-01","2021-10-01","2021-04-26",0,10580,N/A,"2021-07-19","2022-11-18","1.0","2021-09-07",3834,"2021-09-07","0.0",YES,0,Unknown,,,LIT,SV01-FH03,F3,1.0,MWA Ring,WHA01-2,32,32,65
5,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",WHA01,"","","","","1",0.0,0.0,0,"2022-05-09","","2021-09-07","",0,0,"","2022-05-09","","1.0","2021-09-07",0,"","0.0",YES,0,No Permits,,"",LIT,WHA01-3,F2,1.0,MWA Ring,WHA01-3,106,175,302
6,Complete,6768.05,"3/22/2021","60.0",6420,Sent to Construction,Medina Fiber,"",5030,"2022-09-08","","31.0","91.0","2020-06-01","","9194.0",WHA01,"3/22/2021","2020-06-30","2021-03-31","2022-08-12","1",0.41116946330216475,0.5888305366978352,15614,"2021-07-19","2021-06-01","2021-10-01","2021-05-26",5030,0,N/A,"2021-07-19","2022-08-12","1.0","2021-09-07",6420,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH01,F3,1.0,MWA Ring,WHA01-3,46,46,91
7,In Progress,0.0,"3/22/2021","46.0",0,"",Medina Fiber,"",0,"",Greenfield,"0.0","46.0","2022-07-15","","",WHA01,"3/22/2021","","","","1",0.0,0.0,0,"2022-11-22","2021-06-01","2022-11-25","",0,0,"2022-11-25","2022-11-22","","1.0","2022-11-25",0,"2022-12-09","0.0",YES,0,No Permits,,,LIT,SV01-FH01.1,F3,1.0,MWA Ring,WHA01-3,23,23,46
8,"",0.0,"3/22/2021","38.0",0,"",Medina Fiber,"",0,"",Greenfield,"0.0","38.0","","","",WHA01,"3/22/2021","","","","1",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",YES,0,No Permits,,,Planning,SV01-FH01.2,F3,0.0,MWA Ring,WHA01-3,0,0,38
9,"",0.0,"3/22/2021","62.0",0,"",Medina Fiber,"",0,"",Greenfield,"0.0","62.0","","","",WHA01,"3/22/2021","","","","1",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",YES,0,No Permits,,,Planning,SV01-FH01.3,F3,0.0,MWA Ring,WHA01-3,0,0,62
10,"",0.0,"3/22/2021","65.0",0,"",Medina Fiber,"",0,"",Greenfield,"0.0","65.0","","","",WHA01,"3/22/2021","","","","1",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",YES,0,No Permits,,,Planning,SV01-FH01.4,F3,0.0,MWA Ring,WHA01-3,0,0,65
11,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",WHA01,"","","","","1",0.0,0.0,0,"2022-05-09","","2021-09-07","",0,0,"","2022-05-09","","1.0","2021-09-07",0,"","0.0",YES,4,Permits Submitted,,"2022-02-08",LIT,WHA01-4,F2,1.0,MWA Ring,WHA01-4,403,979,1151
12,Complete,8780.17,"3/22/2021","52.0",10076,Sent to Construction,Medina Fiber,"",0,"2022-10-21","","6.0","58.0","2020-06-01","","10262.0",WHA01,"3/22/2021","2020-06-30","2021-03-23","2022-10-18","1",0.49542727898515093,0.5045727210148491,20338,"2021-07-06","2021-06-01","2021-10-01","2021-05-26",0,3156,N/A,"2021-07-06","2022-10-18","1.0","2021-09-07",6920,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH02,F3,1.0,MWA Ring,WHA01-4,29,29,58
13,Complete,10142.11,"3/22/2021","100.0",5327,Sent to Construction,Medina Fiber,"",346,"2022-09-21","","37.0","137.0","2020-06-01","","7401.0",WHA01,"3/22/2021","2020-06-30","2021-03-19","2022-09-16","1",0.41852608422375864,0.5814739157762414,12728,"2021-06-09","2021-06-01","2021-10-01","2021-03-22",346,0,N/A,"2021-06-09","2022-09-16","1.0","2021-09-07",5327,"2021-09-07","0.0",YES,1,Permits Submitted,,"2022-02-08",LIT,SV01-FH04,F3,1.0,MWA Ring,WHA01-4,68,68,137
14,Complete,2158.54,"3/22/2021","103.0",496,Sent to Construction,Medina Fiber,"",3760,"2022-11-07","","2.0","105.0","2020-06-01","","2450.0",WHA01,"3/22/2021","2020-06-30","2021-03-19","2022-10-20","1",0.16836388323150034,0.8316361167684997,2946,"2021-04-19","2021-06-01","2021-10-01","2021-04-19",3760,227,N/A,"2021-04-19","2022-10-20","1.0","2021-09-07",269,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH05,F3,1.0,MWA Ring,WHA01-4,52,52,105
15,Complete,2301.57,"3/22/2021","78.0",94,Sent to Construction,Medina Fiber,"",3235,"2022-11-30","","5.0","83.0","2020-06-01","","858.0",WHA01,"3/22/2021","2020-06-30","2021-04-06","2022-11-04","1",0.09873949579831932,0.9012605042016807,952,"2021-05-21","2021-06-01","2021-10-01","2021-05-21",3235,94,N/A,"2021-05-21","2022-11-04","1.0","2021-09-07",0,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH07,F3,1.0,MWA Ring,WHA01-4,42,42,83
16,Complete,2905.45,"3/22/2021","54.0",0,Sent to Construction,Medina Fiber,"",0,"2022-12-07","","1.0","55.0","2020-06-01","","2933.0",WHA01,"3/22/2021","2020-06-30","2021-03-29","2022-11-18","1",0.0,1.0,2933,"2021-07-19","2021-06-01","2021-10-01","2021-04-26",0,0,N/A,"2021-07-19","2022-11-18","1.0","2021-09-07",0,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH08,F3,1.0,MWA Ring,WHA01-4,28,28,55
17,Complete,8789.74,"3/22/2021","189.0",7073,Sent to Construction,Medina Fiber,"",3075,"2022-11-07","","14.0","203.0","2020-06-01","","7086.0",WHA01,"3/22/2021","2020-06-30","2021-03-22","2022-10-26","1",0.49954092803164063,0.5004590719683594,14159,"2021-07-16","2021-06-01","2021-09-07","2021-04-26",3075,-858,N/A,"2021-07-16","2022-10-26","1.0","2021-09-07",7931,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH09,F3,1.0,MWA Ring,WHA01-4,102,102,203
387,"",0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","160.0","2022-11-09","","21969.0",HIB04,"7/29/21","","","","6",0.0,1.0,21969,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,BN14A,F3,0.0,HIA HIB Ring,HIB04-1,0,0,160
18,Complete,2976.29,"3/22/2021","99.0",47,Sent to Construction,Medina Fiber,"",8264,"2022-05-19","","0.0","99.0","2020-06-01","","20728.0",WHA01,"3/22/2021","2020-06-30","2021-03-19","2022-05-03","1",0.0022623345367027677,0.9977376654632972,20775,"2021-06-07","2021-06-01","2021-10-01","2021-05-01",8264,47,N/A,"2021-06-07","2022-05-03","1.0","2021-09-07",0,"2021-09-07","0.0",YES,0,No Permits,,,LIT,SV01-FH10,F3,1.0,MWA Ring,WHA01-4,50,50,99
